2021-06-12 12:38:03 DEBUG EntityBinder:873 - Bind entity ua.com.alevel.data.model.entity.Lesson on table lesson
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(lesson), mappingColumn=id, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG ClassLoaderAccessImpl:60 - Not known whether passed class name [ua.com.alevel.data.model.entity.Lesson] is safe
2021-06-12 12:38:04 DEBUG ClassLoaderAccessImpl:62 - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : ua.com.alevel.data.model.entity.Lesson
2021-06-12 12:38:04 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2021-06-12 12:38:04 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [ua.com.alevel.data.model.entity.Lesson:id]
2021-06-12 12:38:04 DEBUG SimpleValueBinder:410 - building SimpleValue for id
2021-06-12 12:38:04 DEBUG PropertyBinder:266 - Building property id
2021-06-12 12:38:04 DEBUG BinderHelper:643 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(lesson), mappingColumn=lesson_end, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG PropertyBinder:175 - MetadataSourceProcessor property lessonEnd with lazy=false
2021-06-12 12:38:04 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [ua.com.alevel.data.model.entity.Lesson:lessonEnd]
2021-06-12 12:38:04 DEBUG SimpleValueBinder:410 - building SimpleValue for lessonEnd
2021-06-12 12:38:04 DEBUG PropertyBinder:266 - Building property lessonEnd
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(lesson), mappingColumn=lesson_start, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG PropertyBinder:175 - MetadataSourceProcessor property lessonStart with lazy=false
2021-06-12 12:38:04 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [ua.com.alevel.data.model.entity.Lesson:lessonStart]
2021-06-12 12:38:04 DEBUG SimpleValueBinder:410 - building SimpleValue for lessonStart
2021-06-12 12:38:04 DEBUG PropertyBinder:266 - Building property lessonStart
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='teacher_id', referencedColumn='', mappedBy=''}
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(lesson), mappingColumn=teacher, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG PropertyBinder:266 - Building property teacher
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(lesson), mappingColumn=null, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(lesson), mappingColumn=element, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(lesson), mappingColumn=topics_KEY, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='topics_KEY', referencedColumn='null', mappedBy='null'}
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='lessons'}
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='lessons'}
2021-06-12 12:38:04 DEBUG CollectionBinder:449 - Collection role: ua.com.alevel.data.model.entity.Lesson.topics
2021-06-12 12:38:04 DEBUG PropertyBinder:266 - Building property topics
2021-06-12 12:38:04 DEBUG AnnotationBinder:560 - Binding entity from annotated class: ua.com.alevel.data.model.entity.StudentGroup
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-06-12 12:38:04 DEBUG EntityBinder:430 - Import with entity name StudentGroup
2021-06-12 12:38:04 DEBUG EntityBinder:873 - Bind entity ua.com.alevel.data.model.entity.StudentGroup on table student_group
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student_group), mappingColumn=id, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG ClassLoaderAccessImpl:60 - Not known whether passed class name [ua.com.alevel.data.model.entity.StudentGroup] is safe
2021-06-12 12:38:04 DEBUG ClassLoaderAccessImpl:62 - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : ua.com.alevel.data.model.entity.StudentGroup
2021-06-12 12:38:04 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2021-06-12 12:38:04 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [ua.com.alevel.data.model.entity.StudentGroup:id]
2021-06-12 12:38:04 DEBUG SimpleValueBinder:410 - building SimpleValue for id
2021-06-12 12:38:04 DEBUG PropertyBinder:266 - Building property id
2021-06-12 12:38:04 DEBUG BinderHelper:643 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student_group), mappingColumn=null, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student_group), mappingColumn=element, insertable=true, updatable=true, unique=false}
2021-06-12 12:38:04 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student_group), mappingColumn=courses_KEY, insertable=true, updatable=true, unique=false}
